           1    0.614587    0.614587           0
           2    0.613668    0.614128 0.000324859
           3    0.614357    0.614204 0.000225371
           4    0.613645    0.614064 0.000207917
           5    0.613994     0.61405 0.000166808
           6    0.613552    0.613967 0.000158349
           7    0.613572    0.613911 0.000145447
           8    0.613652    0.613878 0.000130818
           9    0.613158    0.613798 0.000138639
          10    0.613806    0.613799 0.000124778
          11    0.613769    0.613796 0.000113464
          12    0.613492    0.613771 0.000106805
          13     0.61408    0.613795 0.000101202
          14    0.614367    0.613836 0.000101887
          15    0.613622    0.613821 9.60841e-05
          16     0.61329    0.613788 9.56446e-05
          17    0.614142    0.613809 9.22551e-05
          18    0.613314    0.613781 9.11422e-05
          19    0.613217    0.613752 9.10509e-05
          20    0.614012    0.613765 8.74229e-05
