           1   0.0607497   0.0607497           0
           2    0.060833   0.0607914 2.94348e-05
           3    0.060995   0.0608593 5.88016e-05
           4   0.0614362   0.0610035 0.000132465
           5   0.0620967   0.0612221 0.000222418
           6   0.0614681   0.0612631 0.000189088
           7   0.0596024   0.0610259 0.000272968
           8   0.0607464    0.060991 0.000241072
           9   0.0614202   0.0610386 0.000218952
          10   0.0594615   0.0608809 0.000247424
          11   0.0594368   0.0607496 0.000257417
          12   0.0583483   0.0605495 0.000303952
          13   0.0586161   0.0604008 0.000314861
          14   0.0595327   0.0603388 0.000298414
          15   0.0598611    0.060307 0.000280214
          16   0.0601148   0.0602949 0.000262958
          17   0.0599339   0.0602737 0.000248346
          18   0.0594604   0.0602285 0.000238624
          19   0.0596087   0.0601959 0.000228284
          20   0.0600206   0.0601871 0.000217038
